id,name,link,regular_price,promo_price,brand
467340,"Шоколад Kinder Chocolate молочный 8 порций, 100г",https://online.metro-cc.ru/products/shokolad-molochnyj-kinder-reg-chocolate-s-molochnoj-nachinkoj-100g,153,139,KINDER
514690,"Конфеты Красный Октябрь Мишка косолапый, Аленка, Красная шапочка, 700г",https://online.metro-cc.ru/products/krasnyj-oktyabr-shokoladnye-miks-mishka-kosolapyj-alenka-krasnaya-shapochka-700g,799,569,КРАСНЫЙ ОКТЯБРЬ
407173,"Конфеты Рот Фронт батончики шоколадно сливочный вкус, 250г",https://online.metro-cc.ru/products/250g-batonchiki-rf-shok-sliv,149,119,РОТ ФРОНТ
275874,"Печенье Twix minis сахарное с карамелью, 184г",https://online.metro-cc.ru/products/twix-minis-184g,197,,TWIX
426352,"Батончик Snickers Minis шоколадные, 180г",https://online.metro-cc.ru/products/snickers-minis-180-g,197,,SNICKERS
406464,"Конфеты Рот Фронт Батончики, 250г",https://online.metro-cc.ru/products/rot-front-batonchik-250-g,149,119,РОТ ФРОНТ
494639,"Шоколадное яйцо Kinder Surprise ApplayDu, 20г",https://online.metro-cc.ru/products/yajco-kinder-syurpriz-iz-molochnogo-c-molochnym-vnutrennim-sloem-igrushkoj-vnutri-nbsp-zhivotnye-natoons-20gh36sht,115,105,KINDER SURPRISE
514691,"Конфеты Красный Октябрь микс Каракум, Красный мак, Петушок шоколадные, 700г",https://online.metro-cc.ru/products/krasnyj-oktyabr-shokoladnye-miks-karakum-krasnyj-mak-petushok-700g,589,489,КРАСНЫЙ ОКТЯБРЬ
561937,"Кулич Federici Milano Panettone с цукатами и изюмом, 1кг",https://online.metro-cc.ru/products/kulich-pashalnyj-federici-milano-1-kg,1 309,,FEDERICI
213082,"Халва Рот Фронт с шоколадной глазурью, 370г",https://online.metro-cc.ru/products/370g-konfety-rot-front-halva-v-shokoladnoy-glazuri,339,259,РОТ ФРОНТ
463292,"RIOBA Карамель мини со вкусом фруктов, 500г",https://online.metro-cc.ru/products/rioba-karamel-mini-so-vkusom-fruktov-500g,439,,RIOBA
469217,"Шоколадное яйцо Kinder Surprise Серия для девочек, 20г",https://online.metro-cc.ru/products/yajco-kinder-syurpriz-iz-molochnogo-c-molochnym-vnutrennim-sloem-igrushkoj-vnutri-princessy-disnej-20gh36sht,115,105,KINDER SURPRISE
